k q Gibbs Est Res⭑ R_err Mean_r Time
12 2 206 2 2 0 0.7291 19.797
12 3 233 1.8676e+29 1.98e+29 5.678 0.71059 49.212
12 4 258 4.4259e+55 4.7e+55 5.831 0.76289 55.911
12 5 280 7.3193e+75 7.72e+75 5.191 0.80561 92.41
12 6 302 3.7778e+91 3.71e+91 1.827 0.83645 195.72
12 7 323 1.854e+104 1.83e+104 1.311 0.859 198.35
12 8 344 7.9561e+114 7.73e+114 2.925 0.87627 206.12
12 9 364 1.0246e+124 1.02e+124 0.4472 0.8897 261.15
12 10 385 9.7767e+131 9.82e+131 0.4406 0.90055 252.71
