k q Gibbs Est Res⭑ R_err Mean_r Time
3 2 12 2 2 0 0.6666 1.37
3 3 15 246 246 0 0.6953 2.96
3 4 19 9627 9612 0.1561 0.75941 7.6
3 5 22 142802 142820 0.0126 0.80417 10.6
3 6 25 1165532 1166910 0.1181 0.83548 11.5
3 7 29 6470846 6464682 0.09535 0.85853 17.3
3 8 33 27357284 27350456 0.02496 0.87587 16.3
3 9 36 94949618 95004072 0.05732 0.88943 26.2
3 10 41 283845304 283982490 0.04831 0.90038 28.4
3 11 45 754578035 754324670 0.03359 0.90942 37.3
3 12 50 1822353134 1821684612 0.0367 0.91692 37.3
3 13 55 4062313108 4067709516 0.1327 0.92315 43.1
3 14 61 8504260534 8506024982 0.02074 0.9287 40.5
3 15 67 16826691421 16822697010 0.02374 0.93347 45.3
