k q Gibbs Est Res⭑ R_err Mean_r Time
4 2 41 2 2 0 0.68748 1.79
4 3 51 7782 7812 0.384 0.6996 6.13
4 4 60 6014108 6000732 0.2229 0.76061 7.51
4 5 69 827192957 828850160 0.1999 0.80464 14.3
4 6 78 38137020438 38128724910 0.02176 0.83584 15.4
4 7 88 860067118529 856858754052 0.3744 0.85877 19.1
4 8 98 11728066824679 11722360851992 0.04868 0.87597 22.3
4 9 109 111483647197418 111647093496192 0.1464 0.88949 27.3
4 10 120 806501388861500 807567269568570 0.132 0.90041 33.2
4 11 132 4659290565923617 4707230299664420 1.018 0.90904 39
4 12 145 23214815742732030 23062698161984052 0.6596 0.91718 45.5
4 13 160 97577491441800350 97963534144477872 0.3941 0.92313 49.2
4 14 176 369848796327724517 369313246327400102 0.145 0.92879 51.6
4 15 193 1251535692317397044 1258250118125770980 0.5336 0.93325 53.7

