k q Gibbs Est Res⭑ R_err Mean_r Time
4 2 31 2 2 0 0.68776 0.055
4 3 40 7508 7812 3.891 0.69855 0.169
4 4 47 6044341 6000732 0.7267 0.76079 0.202
4 5 55 850943479 828850160 2.666 0.8056 0.428
4 6 63 38116468892 38128724910 0.03214 0.83583 0.461
4 7 71 853806790982 856858754052 0.3562 0.85851 0.615
4 8 79 11676822888723 11722360851992 0.3885 0.87582 0.606
4 9 88 112088783265191 111647093496192 0.3956 0.88969 0.905
4 10 98 809606111910677 807567269568570 0.2525 0.90056 1.12
4 11 108 4739876868986054 4707230299664420 0.6935 0.9097 1.15
4 12 119 22455131113508040 23062698161984052 2.634 0.91591 1.41
4 13 131 98270948674199623 97963534144477872 0.3138 0.9234 1.55
4 14 144 376192635399002648 369313246327400102 1.863 0.92945 1.66
4 15 159 1264655857310574361 1258250118125770980 0.5091 0.93366 1.66
