k q Gibbs Est Res⭑ R_err Mean_r Time
5 2 53 2 2 0 0.69963 0.294
5 3 67 6.0824e+05 5.8099e+05 4.69 0.70351 0.644
5 4 80 2.0705e+10 2.0443e+10 1.28 0.76153 1.14
5 5 92 4.832e+13 5.082e+13 4.92 0.80401 1.68
5 6 105 2.249e+16 2.1978e+16 2.329 0.83649 2.42
5 7 118 2.9747e+18 3.0318e+18 1.883 0.85833 2.44
5 8 132 1.8878e+20 1.8959e+20 0.4257 0.87593 3.06
5 9 147 6.744e+21 6.6607e+21 1.25 0.88986 3.69
5 10 162 1.5155e+23 1.5109e+23 0.3033 0.90056 4.64
5 11 179 2.4658e+24 2.4325e+24 1.368 0.90976 5.56
5 12 197 3.0046e+25 2.9731e+25 1.059 0.91718 6.06
5 13 217 2.8738e+26 2.8981e+26 0.8383 0.9231 7.05
5 14 239 2.3332e+27 2.3387e+27 0.2348 0.92869 7.3
5 15 263 1.6126e+28 1.608e+28 0.284 0.93354 7.83
