k q Gibbs Est Res⭑ R_err Mean_r Time
5 2 72 2 2 0 0.70002 18.3
5 3 89 5.8098e+05 5.8099e+05 0.001893 0.70267 62.7
5 4 105 2.0495e+10 2.0443e+10 0.2567 0.76134 103
5 5 120 5.0733e+13 5.082e+13 0.171 0.80499 148
5 6 136 2.201e+16 2.1978e+16 0.1442 0.83603 195
5 7 152 3.0278e+18 3.0318e+18 0.1325 0.8587 233
5 8 170 1.8956e+20 1.8959e+20 0.01348 0.87602 233
5 9 188 6.6682e+21 6.6607e+21 0.1118 0.88961 381
5 10 207 1.5133e+23 1.5109e+23 0.1585 0.90053 449
5 11 228 2.4292e+24 2.4325e+24 0.1369 0.90942 587
5 12 250 2.9786e+25 2.9731e+25 0.1851 0.91698 667
5 13 275 2.8931e+26 2.8981e+26 0.174 0.92325 679
5 14 302 2.3377e+27 2.3387e+27 0.04275 0.92873 739
5 15 332 1.6089e+28 1.608e+28 0.05557 0.93348 716
