k q Gibbs Est Res⭑ R_err Mean_r Time
5 2 60 2 2 0 0.69968 1.09
5 3 74 5.7943e+05 5.8099e+05 0.2683 0.70264 2.6
5 4 88 2.0789e+10 2.0443e+10 1.693 0.76161 4.74
5 5 102 5.0596e+13 5.082e+13 0.4415 0.80493 9.7
5 6 115 2.212e+16 2.1978e+16 0.6479 0.83614 10.4
5 7 130 3.0515e+18 3.0318e+18 0.6492 0.85887 12.9
5 8 145 1.884e+20 1.8959e+20 0.6237 0.87588 12.5
5 9 160 6.7023e+21 6.6607e+21 0.6238 0.88972 17.9
5 10 177 1.5225e+23 1.5109e+23 0.7728 0.90067 22
5 11 195 2.4437e+24 2.4325e+24 0.458 0.90956 22
5 12 215 2.9925e+25 2.9731e+25 0.6545 0.91709 27.2
5 13 236 2.9275e+26 2.8981e+26 1.014 0.92352 30.5
5 14 260 2.352e+27 2.3387e+27 0.5688 0.92887 32
5 15 286 1.5936e+28 1.608e+28 0.8973 0.93326 33.2
