k q Gibbs Est Res⭑ R_err Mean_r Time
10 2 132 2 2 0 0.72509 4.6488
10 3 150 4.8099e+20 5.08e+20 5.316 0.70924 11.309
10 4 166 1.0246e+39 1.06e+39 3.341 0.76264 13.109
10 5 180 1.0557e+53 1e+53 5.57 0.80589 21.074
10 6 194 6.9961e+63 6.97e+63 0.3743 0.83636 21.987
10 7 208 4.1988e+72 4.19e+72 0.2106 0.85894 44.667
10 8 221 9.6187e+79 9.4e+79 2.327 0.87626 45.915
10 9 234 1.9109e+86 1.93e+86 0.9916 0.88962 58.067
10 10 248 6.4504e+91 6.48e+91 0.457 0.90053 56.451
