k q Gibbs Est Res⭑ R_err Mean_r Time
10 2 132 2 2 0 0.72491 9.0583
10 3 150 5.2151e+20 5.08e+20 2.66 0.70959 21.782
10 4 166 1.0531e+39 1.06e+39 0.6493 0.76276 26.082
10 5 180 1.0485e+53 1e+53 4.846 0.80585 42.162
10 6 194 7.062e+63 6.97e+63 1.32 0.8364 44.281
10 7 208 4.2058e+72 4.19e+72 0.3773 0.85895 88.004
10 8 221 9.4878e+79 9.4e+79 0.9342 0.8762 89.845
10 9 234 1.9038e+86 1.93e+86 1.357 0.8896 112.25
10 10 248 6.5238e+91 6.48e+91 0.6766 0.90059 110.59
