k q Gibbs Est Res⭑ R_err Mean_r Time
10 2 132 2 2 0 0.72498 113.62
10 3 150 5.0298e+20 5.08e+20 0.9875 0.70942 333.18
10 4 166 1.0693e+39 1.06e+39 0.8804 0.76283 384.59
10 5 180 9.9489e+52 1e+53 0.5112 0.80562 602.79
10 6 194 6.9235e+63 6.97e+63 0.6674 0.83631 647.64
10 7 208 4.1872e+72 4.19e+72 0.06574 0.85893 1305.8
10 8 221 9.3657e+79 9.4e+79 0.365 0.87613 1337.2
10 9 234 1.9197e+86 1.93e+86 0.5323 0.88965 1401.9
10 10 248 6.4896e+91 6.48e+91 0.1486 0.90056 1329.4
