k Sims Gibbs Est Res R_err Mean_r Time
2 130 4 7 7 0 0.80385 0.000169
3 1487 9 64 63 1.5873 0.84202 0.001721
4 8359 16 1197 1234 2.9984 0.84777 0.033629
5 31887 25 54191 55447 2.2652 0.85291 0.34682
6 95216 40 5.6376e+06 5.5989e+06 0.69099 0.85624 2.3554
7 240099 60 1.2807e+09 1.2801e+09 0.04669 0.85804 12.034
8 534987 83 6.6411e+11 6.6065e+11 0.52314 0.85945 48.38
9 1084573 111 7.6748e+14 7.7055e+14 0.39883 0.86043 150.05
