k Sims Gibbs Est Res R_err Mean_r Time
2 1600 4 7 7 0 0.81344 0.000434
3 18225 9 62 63 1.5873 0.84018 0.020397
4 102400 20 1229 1234 0.40519 0.84875 0.44016
5 390625 34 55449 55447 0.003607 0.85342 4.7299
6 1166400 53 5.5873e+06 5.5989e+06 0.20736 0.85612 32.303
7 2941225 77 1.2787e+09 1.2801e+09 0.11069 0.85803 197.46
8 6553600 106 6.6129e+11 6.6065e+11 0.096627 0.85942 800.64
9 13286025 140 7.708e+14 7.7055e+14 0.031965 0.86046 2392.7
