k Sims Gibbs Est Res R_err Mean_r Time
2 64 4 5 7 28.571 0.76172 3.8e-05
3 729 9 68 63 7.9365 0.84591 0.000434
4 4096 16 1187 1234 3.8088 0.8476 0.00856
5 15625 25 56194 55447 1.3472 0.85371 0.088952
6 46656 37 5.508e+06 5.5989e+06 1.6242 0.85591 0.61651
7 117649 55 1.3153e+09 1.2801e+09 2.7503 0.85831 3.194
8 262144 76 6.5331e+11 6.6065e+11 1.1109 0.85933 12.856
9 531441 102 7.8014e+14 7.7055e+14 1.244 0.86053 43.275
