k q Gibbs Est Res⭑ R_err Mean_r Time
6 2 104 2 2 0 0.70825 33.5
6 3 129 1.0079e+08 1.016e+08 0.7985 0.7047 124
6 4 151 3.7982e+14 3.8005e+14 0.06206 0.76178 197
6 5 174 3.298e+19 3.2921e+19 0.1781 0.80526 262
6 6 197 2.2281e+23 2.2348e+23 0.2988 0.83607 392
6 7 221 2.8699e+26 2.8636e+26 0.2186 0.85883 495
6 8 245 1.1556e+29 1.157e+29 0.1257 0.87605 488
6 9 272 2.0123e+31 2.0173e+31 0.2495 0.88958 652
6 10 299 1.852e+33 1.8597e+33 0.4151 0.90045 798
6 11 329 1.0457e+35 1.0409e+35 0.4572 0.90954 823
6 12 362 3.8989e+36 3.9027e+36 0.09764 0.91694 901
6 13 397 1.0544e+38 1.0532e+38 0.1156 0.92332 913
6 14 436 2.1562e+39 2.1601e+39 0.1803 0.92872 951
6 15 479 3.5054e+40 3.5111e+40 0.1627 0.93345 996
