k q Gibbs Est Res⭑ R_err Mean_r Time
6 2 93 2 2 0 0.70837 4.56
6 3 115 1.0208e+08 1.016e+08 0.4732 0.70485 16.4
6 4 136 3.8122e+14 3.8005e+14 0.3057 0.76183 20.1
6 5 156 3.2482e+19 3.2921e+19 1.334 0.80505 45.8
6 6 177 2.2282e+23 2.2348e+23 0.297 0.83608 50.2
6 7 199 2.878e+26 2.8636e+26 0.5035 0.85887 65.7
6 8 222 1.1462e+29 1.157e+29 0.9372 0.87593 79.5
6 9 246 2.0087e+31 2.0173e+31 0.4245 0.88955 93
6 10 271 1.8535e+33 1.8597e+33 0.3301 0.90047 99.3
6 11 299 1.0434e+35 1.0409e+35 0.2316 0.9095 115
6 12 328 3.904e+36 3.9027e+36 0.03356 0.91696 138
6 13 361 1.046e+38 1.0532e+38 0.6831 0.92319 165
6 14 396 2.1563e+39 2.1601e+39 0.1726 0.92872 196
6 15 436 3.5082e+40 3.5111e+40 0.08236 0.93346 206
