k q Gibbs Est Res⭑ R_err Mean_r Time
2 2 6 2 2 0 0.625 1.76
2 3 8 18 18 0 0.68751 7.76
2 4 9 84 84 0 0.75693 9.28
2 5 11 260 260 0 0.80309 12
2 6 13 630 630 0 0.83498 21.3
2 7 14 1302 1302 0 0.85809 19.7
2 8 16 2408 2408 0 0.87567 22.4
2 9 18 4105 4104 0.02437 0.88936 29.1
2 10 20 6569 6570 0.01522 0.90026 42.8
2 11 22 10008 10010 0.01998 0.90928 42.6
2 12 25 14655 14652 0.02048 0.91688 47.3
2 13 27 20752 20748 0.01928 0.92325 44.1
2 14 30 28580 28574 0.021 0.92873 48.3
2 15 33 38426 38430 0.01041 0.93339 51.7
