k q Gibbs Est Res⭑ R_err Mean_r Time
2 2 4 2 2 0 0.62497 0.03137
2 3 4 18 18 0 0.68759 0.054033
2 4 5 84 84 0 0.75749 0.071944
2 5 6 260 260 0 0.80277 0.095485
2 6 7 629 630 0.1587 0.83465 0.10733
2 7 8 1301 1302 0.0768 0.85795 0.19016
2 8 9 2405 2408 0.1246 0.87538 0.17057
2 9 11 4090 4104 0.3411 0.88857 0.21812
2 10 12 6564 6570 0.09132 0.9001 0.39132
2 11 14 10009 10010 0.00999 0.90929 0.38656
2 12 15 14656 14652 0.0273 0.9169 0.36479
2 13 17 20735 20748 0.06266 0.92307 0.44789
2 14 19 28573 28574 0.0035 0.92867 0.44012
2 15 21 38363 38430 0.1743 0.93301 0.50237
