k q Gibbs Est Res⭑ R_err Mean_r Time
11 2 167 2 2 0 0.7272 13.67
11 3 189 6.4907e+24 6.53e+24 0.6016 0.71016 34.47
11 4 209 9.2659e+46 9.57e+46 3.178 0.76283 39.303
11 5 227 8.4817e+63 8.57e+63 1.031 0.80568 63.781
11 6 245 1.2214e+77 1.21e+77 0.9382 0.8364 132.89
11 7 262 5.3618e+87 5.36e+87 0.03419 0.85895 133.29
11 8 279 4.512e+96 4.39e+96 2.78 0.87627 138.85
11 9 295 1.9829e+104 1.97e+104 0.6524 0.8897 173.61
11 10 312 1.0102e+111 9.84e+110 2.662 0.90067 167.25
