k q Gibbs Est Res⭑ R_err Mean_r Time
11 2 167 2 2 0 0.72728 308.96
11 3 189 6.4933e+24 6.53e+24 0.5614 0.71015 699.73
11 4 209 9.5617e+46 9.57e+46 0.08631 0.76294 813.22
11 5 227 8.532e+63 8.57e+63 0.4437 0.8057 1255.5
11 6 245 1.2057e+77 1.21e+77 0.3525 0.83635 2578
11 7 262 5.3738e+87 5.36e+87 0.2575 0.85896 2390.3
11 8 279 4.3965e+96 4.39e+96 0.148 0.87617 2443.1
11 9 295 1.9818e+104 1.97e+104 0.5967 0.8897 2938.5
11 10 312 9.8055e+110 9.84e+110 0.351 0.90055 2837.4
