k q Gibbs Est Res⭑ R_err Mean_r Time
11 2 167 2 2 0 0.72718 6.7561
11 3 189 5.9152e+24 6.53e+24 9.415 0.70987 16.362
11 4 209 9.0486e+46 9.57e+46 5.448 0.76275 18.821
11 5 227 8.2018e+63 8.57e+63 4.297 0.80556 30.346
11 6 245 1.2038e+77 1.21e+77 0.5117 0.83635 64.299
11 7 262 5.4435e+87 5.36e+87 1.557 0.85901 66.674
11 8 279 4.1547e+96 4.39e+96 5.361 0.87594 69.779
11 9 295 1.9559e+104 1.97e+104 0.7138 0.88965 88.818
11 10 312 9.913e+110 9.84e+110 0.7415 0.90059 84.121
