k q Gibbs Est Res⭑ R_err Mean_r Time
7 2 141 2 2 0 0.71428 48.1
7 3 174 4.2229e+10 4.187e+10 0.8564 0.70646 162
7 4 205 3.8126e+19 3.8558e+19 1.121 0.76205 249
7 5 235 2.2627e+26 2.2531e+26 0.4253 0.80543 362
7 6 266 4.0115e+31 4.0087e+31 0.06953 0.8362 475
7 7 298 7.198e+35 7.2202e+35 0.3077 0.85881 530
7 8 332 2.6625e+39 2.6645e+39 0.07696 0.87609 585
7 9 367 3.1118e+42 3.1016e+42 0.3281 0.88967 787
7 10 405 1.5018e+45 1.5059e+45 0.2725 0.9005 828
7 11 445 3.6892e+47 3.6888e+47 0.009851 0.90948 861
7 12 489 5.2165e+49 5.2166e+49 0.001308 0.91696 913
7 13 537 4.7007e+51 4.7017e+51 0.01991 0.9233 1.01e+03
7 14 589 2.9241e+53 2.9099e+53 0.4891 0.92881 1.14e+03
7 15 648 1.3129e+55 1.31e+55 0.2214 0.9335 1.17e+03
