k q Gibbs Est Res⭑ R_err Mean_r Time
7 2 129 2 2 0 0.71438 9.88
7 3 159 4.1779e+10 4.187e+10 0.2171 0.70637 35.2
7 4 188 3.8526e+19 3.8558e+19 0.08179 0.76214 43.7
7 5 217 2.233e+26 2.2531e+26 0.8931 0.8053 96.9
7 6 246 3.9541e+31 4.0087e+31 1.362 0.83606 128
7 7 276 7.2351e+35 7.2202e+35 0.2058 0.85887 131
7 8 307 2.655e+39 2.6645e+39 0.3596 0.87606 143
7 9 340 3.0977e+42 3.1016e+42 0.1252 0.88962 183
7 10 375 1.4824e+45 1.5059e+45 1.56 0.90036 217
7 11 413 3.6822e+47 3.6888e+47 0.1776 0.90946 240
7 12 454 5.2451e+49 5.2166e+49 0.5472 0.91702 285
7 13 499 4.6278e+51 4.7017e+51 1.572 0.92313 295
7 14 548 2.896e+53 2.9099e+53 0.4768 0.9287 341
7 15 603 1.316e+55 1.31e+55 0.4618 0.93353 362
