k q Gibbs Est Res⭑ R_err Mean_r Time
7 2 134 2 2 0 0.71435 19.5
7 3 165 4.1983e+10 4.187e+10 0.2696 0.7064 71.6
7 4 195 3.8268e+19 3.8558e+19 0.7518 0.76208 84.8
7 5 224 2.2875e+26 2.2531e+26 1.527 0.80553 174
7 6 254 4.0313e+31 4.0087e+31 0.5635 0.83625 211
7 7 285 7.1655e+35 7.2202e+35 0.7582 0.85877 219
7 8 317 2.6441e+39 2.6645e+39 0.7682 0.87601 258
7 9 351 3.1038e+42 3.1016e+42 0.0697 0.88964 371
7 10 388 1.4941e+45 1.5059e+45 0.785 0.90044 342
7 11 427 3.6833e+47 3.6888e+47 0.1485 0.90946 427
7 12 469 5.1993e+49 5.2166e+49 0.3308 0.91693 507
7 13 515 4.669e+51 4.7017e+51 0.6943 0.92323 537
7 14 565 2.9039e+53 2.9099e+53 0.2065 0.92873 520
7 15 621 1.3094e+55 1.31e+55 0.04516 0.93347 537
